domain,scale_pct,space_group_no,space_group,train_count,val_count,test_count,total_count,sg_imbalance_ratio,sg_modeling_allowed,reason,warnings
D3,10,12,C2/m,57,9,14,80,1.93,True,,
D3,15,62,Pnma,171,33,31,235,2.04,True,,
D3,15,14,P2_1/c,151,33,42,226,2.04,True,,
D3,15,225,Fm-3m,161,25,35,221,2.04,True,,
D3,15,194,P6_3/mmc,107,26,24,157,2.04,True,,
D3,15,166,R-3m,94,18,20,132,2.04,True,,
D3,15,227,Fd-3m,86,19,20,125,2.04,True,,
D3,15,2,P-1,84,21,20,125,2.04,True,,
D3,15,139,I4/mmm,90,16,19,125,2.04,True,,
D3,15,12,C2/m,96,16,12,124,2.04,True,,
D3,15,221,Pm-3m,91,15,18,124,2.04,True,,
D3,20,62,Pnma,223,46,49,318,2.01,True,,
D3,20,14,P2_1/c,209,51,50,310,2.01,True,,
D3,20,225,Fm-3m,204,41,48,293,2.01,True,,
D3,20,194,P6_3/mmc,141,35,34,210,2.01,True,,
D3,20,2,P-1,123,28,26,177,2.01,True,,
D3,20,12,C2/m,120,24,27,171,2.01,True,,
D3,20,166,R-3m,116,24,31,171,2.01,True,,
D3,20,221,Pm-3m,126,22,21,169,2.01,True,,
D3,20,139,I4/mmm,116,31,21,168,2.01,True,,
D3,20,227,Fd-3m,111,26,22,159,2.01,True,,
D4,5,225,Fm-3m,59,9,15,83,2.11,True,,
D4,5,62,Pnma,50,12,11,73,2.11,True,,
D4,5,14,P2_1/c,57,9,6,72,2.11,True,,
D4,5,194,P6_3/mmc,33,9,9,51,2.11,True,,
D4,5,139,I4/mmm,37,6,4,47,2.11,True,,
D4,5,12,C2/m,35,5,6,46,2.11,True,,
D4,5,221,Pm-3m,28,9,8,45,2.11,True,,
D4,5,166,R-3m,34,5,5,44,2.11,True,,
D4,5,2,P-1,29,6,7,42,2.11,True,,
D4,5,227,Fd-3m,28,5,6,39,2.11,True,,
D4,10,225,Fm-3m,109,31,21,161,1.93,True,,
D4,10,14,P2_1/c,106,20,27,153,1.93,True,,
D4,10,62,Pnma,110,19,21,150,1.93,True,,
D4,10,194,P6_3/mmc,72,17,18,107,1.93,True,,
D4,10,2,P-1,61,12,14,87,1.93,True,,
D4,10,139,I4/mmm,59,12,14,85,1.93,True,,
D4,10,227,Fd-3m,60,9,14,83,1.93,True,,
D4,10,221,Pm-3m,58,12,12,82,1.93,True,,
D4,10,166,R-3m,60,6,15,81,1.93,True,,
D4,10,12,C2/m,57,9,14,80,1.93,True,,
D4,15,62,Pnma,171,33,31,235,2.04,True,,
D4,15,14,P2_1/c,151,33,42,226,2.04,True,,
D4,15,225,Fm-3m,161,25,35,221,2.04,True,,
D4,15,194,P6_3/mmc,107,26,24,157,2.04,True,,
D4,15,166,R-3m,94,18,20,132,2.04,True,,
D4,15,227,Fd-3m,86,19,20,125,2.04,True,,
D4,15,2,P-1,84,21,20,125,2.04,True,,
D4,15,139,I4/mmm,90,16,19,125,2.04,True,,
D4,15,12,C2/m,96,16,12,124,2.04,True,,
D4,15,221,Pm-3m,91,15,18,124,2.04,True,,
D4,20,62,Pnma,223,46,49,318,2.01,True,,
D4,20,14,P2_1/c,209,51,50,310,2.01,True,,
D4,20,225,Fm-3m,204,41,48,293,2.01,True,,
D4,20,194,P6_3/mmc,141,35,34,210,2.01,True,,
D4,20,2,P-1,123,28,26,177,2.01,True,,
D4,20,12,C2/m,120,24,27,171,2.01,True,,
D4,20,166,R-3m,116,24,31,171,2.01,True,,
D4,20,221,Pm-3m,126,22,21,169,2.01,True,,
D4,20,139,I4/mmm,116,31,21,168,2.01,True,,
D4,20,227,Fd-3m,111,26,22,159,2.01,True,,
